Unnamed: 0,source_text,plagiarized_text,label,text_join
0,Researchers have discovered a new species of butterfly in the Amazon rainforest.,Scientists have found a previously unknown butterfly species in the Amazon jungle.,1,researcher discovered new specie butterfly amazon rainforest scientist found previously unknown butterfly specie amazon jungle
1,The moon orbits the Earth in approximately 27.3 days.,Our natural satellite takes around 27.3 days to complete one orbit around our planet.,1,moon orbit earth approximately 273 day natural satellite take around 273 day complete one orbit around planet
2,Water is composed of two hydrogen atoms and one oxygen atom.,H2O consists of 2 hydrogen atoms and 1 oxygen atom.,1,water composed two hydrogen atom one oxygen atom h2o consists 2 hydrogen atom 1 oxygen atom
3,The history of Rome dates back to 753 BC.,Rome has a long history that can be traced back to 753 BC.,1,history rome date back 753 bc rome long history traced back 753 bc
4,Pluto was once considered the ninth planet in our solar system.,"In the past, Pluto was classified as the ninth planet in our sun's planetary system.",1,pluto considered ninth planet solar system past pluto classified ninth planet sun planetary system
5,This is a unique and original sentence.,This sentence is unique and original.,0,unique original sentence sentence unique original
6,Artificial intelligence is reshaping industries.,AI is changing the landscape of various sectors.,0,artificial intelligence reshaping industry ai changing landscape various sector
7,Python is a popular programming language for data science.,Data science often relies on Python as a widely used programming language.,0,python popular programming language data science data science often relies python widely used programming language
8,The Earth revolves around the Sun in a nearly circular orbit.,Our planet follows an almost circular path as it moves around the central star.,0,earth revolves around sun nearly circular orbit planet follows almost circular path move around central star
9,Paris is the capital of France.,France's capital city is Paris.,0,paris capital france france capital city paris
10,Plants use photosynthesis to convert sunlight into energy.,Photosynthesis in plants transforms sunlight into usable energy.,1,plant use photosynthesis convert sunlight energy photosynthesis plant transforms sunlight usable energy
11,The Great Wall of China is one of the Seven Wonders of the World.,"Among the Seven Wonders, the Great Wall of China stands out.",1,great wall china one seven wonder world among seven wonder great wall china stand
12,Gravity is the force that attracts two bodies towards each other.,The force pulling two masses together is known as gravity.,1,gravity force attracts two body towards force pulling two mass together known gravity
13,A healthy diet includes a variety of fruits and vegetables.,Eating a mix of fruits and vegetables is part of a healthy diet.,1,healthy diet includes variety fruit vegetable eating mix fruit vegetable part healthy diet
14,New York City is known for its bustling Times Square.,Times Square is a famous spot in New York City.,1,new york city known bustling time square time square famous spot new york city
15,The Sahara is the largest hot desert in the world.,The world's largest hot desert is the Sahara.,1,sahara largest hot desert world world largest hot desert sahara
16,Shakespeare is regarded as one of the greatest playwrights in history.,One of history's greatest playwrights is Shakespeare.,1,shakespeare regarded one greatest playwright history one history greatest playwright shakespeare
17,The Pacific Ocean is the largest and deepest ocean on Earth.,Earth's largest and deepest ocean is the Pacific.,1,pacific ocean largest deepest ocean earth earth largest deepest ocean pacific
18,Climate change is a significant global issue.,Global warming is a major issue affecting the planet.,1,climate change significant global issue global warming major issue affecting planet
19,Birds have feathers and lay eggs.,Feathers and egg-laying are characteristic of birds.,1,bird feather lay egg feather egglaying characteristic bird
20,The internet has revolutionized communication.,Communication has been transformed by the internet.,1,internet revolutionized communication communication transformed internet
21,The human brain consists of billions of neurons.,Billions of neurons make up the human brain.,1,human brain consists billion neuron billion neuron make human brain
